id,bouquet,price,date,year,quarter,month,day,week,sender_city,sender_province,delivery_city,delivery_province
18,roses,40.00,2013-01-02,2013,1,1,2,1,Piła,Wielkopolskie,Warszawa,Mazowieckie
19,mix,40.00,2013-01-02,2013,1,1,2,1,Gryfice,Zachodniopomorskie,Warszawa,Mazowieckie
20,roses,40.00,2013-01-02,2013,1,1,2,1,Gryfice,Zachodniopomorskie,Poznań,Wielkopolskie
21,roses,40.00,2013-01-02,2013,1,1,2,1,Wrocław,Dolnośląskie,Piła,Wielkopolskie
22,mix,40.00,2013-01-03,2013,1,1,3,1,Wrocław,Dolnośląskie,Elbląg,Warmińsko-Mazurskie
23,roses,40.00,2013-01-03,2013,1,1,3,1,Biała Podlaska,Lubelskie,Szczecin,Zachodniopomorskie
24,roses,40.00,2013-01-03,2013,1,1,3,1,Głogów,Dolnośląskie,Włocławek,Kujawsko-Pomorskie
25,roses,40.00,2013-01-03,2013,1,1,3,1,Toruń,Kujawsko-Pomorskie,Sandomierz,Świętokrzyskie
26,roses,40.00,2013-01-03,2013,1,1,3,1,Wrocław,Dolnośląskie,Tczew,Pomorskie
27,mix,40.00,2013-01-03,2013,1,1,3,1,Chełm,Lubelskie,Kluczbork,Opolskie
28,roses,40.00,2013-01-03,2013,1,1,3,1,Bydgoszcz,Kujawsko-Pomorskie,Szczecin,Zachodniopomorskie
29,tulips,40.00,2013-01-03,2013,1,1,3,1,Opole,Opolskie,Warszawa,Mazowieckie
30,tulips,40.00,2013-01-03,2013,1,1,3,1,Piła,Wielkopolskie,Kalisz,Wielkopolskie
31,mix,40.00,2013-01-03,2013,1,1,3,1,Mielec,Podkarpackie,Katowice,Śląskie
32,mix,40.00,2013-01-03,2013,1,1,3,1,Kielce,Świętokrzyskie,Kraków,Małopolskie
33,mix,40.00,2013-01-03,2013,1,1,3,1,Malbork,Pomorskie,Lublin,Lubelskie
34,roses,40.00,2013-01-03,2013,1,1,3,1,Radom,Mazowieckie,Poznań,Wielkopolskie
35,tulips,40.00,2013-01-04,2013,1,1,4,1,Nowy Targ,Małopolskie,Kraków,Małopolskie
36,roses,40.00,2013-01-04,2013,1,1,4,1,Kraków,Małopolskie,Rzeszów,Podkarpackie
37,mix,40.00,2013-01-04,2013,1,1,4,1,Wrocław,Dolnośląskie,Kraków,Małopolskie
38,roses,40.00,2013-01-04,2013,1,1,4,1,Kraków,Małopolskie,Suwałki,Podlaskie
39,mix,40.00,2013-01-04,2013,1,1,4,1,Rzeszów,Podkarpackie,Gdańsk,Pomorskie
40,tulips,40.00,2013-01-04,2013,1,1,4,1,Lublin,Lubelskie,Giżycko,Warmińsko-Mazurskie
41,mix,40.00,2013-01-04,2013,1,1,4,1,Kolno,Podlaskie,Poznań,Wielkopolskie
42,tulips,40.00,2013-01-04,2013,1,1,4,1,Elbląg,Warmińsko-Mazurskie,Gdańsk,Pomorskie
43,tulips,40.00,2013-01-04,2013,1,1,4,1,Rzeszów,Podkarpackie,Warszawa,Mazowieckie
44,roses,40.00,2013-01-05,2013,1,1,5,1,Żagań,Lubuskie,Wieliczka,Małopolskie
45,mix,40.00,2013-01-05,2013,1,1,5,1,Krosno,Podkarpackie,Rzeszów,Podkarpackie
46,roses,40.00,2013-01-05,2013,1,1,5,1,Kraków,Małopolskie,Zielona Góra,Lubuskie
47,mix,40.00,2013-01-05,2013,1,1,5,1,Bydgoszcz,Kujawsko-Pomorskie,Giżycko,Warmińsko-Mazurskie
48,tulips,40.00,2013-01-05,2013,1,1,5,1,Zielona Góra,Lubuskie,Lublin,Lubelskie
49,tulips,40.00,2013-01-05,2013,1,1,5,1,Gdańsk,Pomorskie,Rzeszów,Podkarpackie
50,mix,40.00,2013-01-05,2013,1,1,5,1,Gorzów Wielkopolski,Lubuskie,Suwałki,Podlaskie
51,roses,40.00,2013-01-05,2013,1,1,5,1,Augustów,Podlaskie,Lublin,Lubelskie
52,tulips,40.00,2013-01-05,2013,1,1,5,1,Gdańsk,Pomorskie,Rzeszów,Podkarpackie
53,mix,40.00,2013-01-05,2013,1,1,5,1,Zgierz,Łódzkie,Żagań,Lubuskie
54,tulips,40.00,2013-01-05,2013,1,1,5,1,Łańcut,Podkarpackie,Słupsk,Pomorskie
55,roses,40.00,2013-01-05,2013,1,1,5,1,Tarnów,Małopolskie,Katowice,Śląskie
56,roses,40.00,2013-01-05,2013,1,1,5,1,Wadowice,Małopolskie,Bielsko-Biała,Śląskie
57,tulips,40.00,2013-01-05,2013,1,1,5,1,Opole,Opolskie,Warszawa,Mazowieckie
58,roses,40.00,2013-01-06,2013,1,1,6,1,Bydgoszcz,Kujawsko-Pomorskie,Warszawa,Mazowieckie
59,roses,40.00,2013-01-06,2013,1,1,6,1,Wrocław,Dolnośląskie,Warszawa,Mazowieckie
60,tulips,40.00,2013-01-06,2013,1,1,6,1,Warszawa,Mazowieckie,Poznań,Wielkopolskie
61,tulips,40.00,2013-01-06,2013,1,1,6,1,Suwałki,Podlaskie,Olsztyn,Warmińsko-Mazurskie
62,roses,40.00,2013-01-06,2013,1,1,6,1,Gryfice,Zachodniopomorskie,Sopot,Pomorskie
63,tulips,40.00,2013-01-06,2013,1,1,6,1,Włocławek,Kujawsko-Pomorskie,Rzeszów,Podkarpackie
64,roses,40.00,2013-01-06,2013,1,1,6,1,Wrocław,Dolnośląskie,Nowy Targ,Małopolskie
65,roses,40.00,2013-01-06,2013,1,1,6,1,Głogów,Dolnośląskie,Białystok,Podlaskie
66,roses,40.00,2013-01-06,2013,1,1,6,1,Poznań,Wielkopolskie,Poznań,Wielkopolskie
67,mix,40.00,2013-01-06,2013,1,1,6,1,Lubin,Dolnośląskie,Wrocław,Dolnośląskie
68,roses,40.00,2013-01-06,2013,1,1,6,1,Bydgoszcz,Kujawsko-Pomorskie,Warszawa,Mazowieckie
69,mix,40.00,2013-01-06,2013,1,1,6,1,Biała Podlaska,Lubelskie,Gryfice,Zachodniopomorskie
70,tulips,40.00,2013-01-07,2013,1,1,7,2,Wadowice,Małopolskie,Wrocław,Dolnośląskie
71,tulips,40.00,2013-01-07,2013,1,1,7,2,Gdańsk,Pomorskie,Łańcut,Podkarpackie
72,mix,40.00,2013-01-07,2013,1,1,7,2,Tczew,Pomorskie,Głogów,Dolnośląskie
73,mix,40.00,2013-01-07,2013,1,1,7,2,Kraków,Małopolskie,Gniezno,Wielkopolskie
74,mix,40.00,2013-01-07,2013,1,1,7,2,Poznań,Wielkopolskie,Tczew,Pomorskie
75,roses,40.00,2013-01-07,2013,1,1,7,2,Warszawa,Mazowieckie,Kraków,Małopolskie
76,mix,40.00,2013-01-07,2013,1,1,7,2,Poznań,Wielkopolskie,Poznań,Wielkopolskie
77,tulips,40.00,2013-01-07,2013,1,1,7,2,Lublin,Lubelskie,Warszawa,Mazowieckie
78,tulips,40.00,2013-01-07,2013,1,1,7,2,Gdańsk,Pomorskie,Gorzów Wielkopolski,Lubuskie
79,tulips,40.00,2013-01-07,2013,1,1,7,2,Rzeszów,Podkarpackie,Sopot,Pomorskie
80,tulips,40.00,2013-01-07,2013,1,1,7,2,Gdańsk,Pomorskie,Nowy Sącz,Małopolskie
81,tulips,40.00,2013-01-07,2013,1,1,7,2,Wrocław,Dolnośląskie,Kraków,Małopolskie
82,roses,40.00,2013-01-07,2013,1,1,7,2,Warszawa,Mazowieckie,Piła,Wielkopolskie
83,tulips,40.00,2013-01-07,2013,1,1,7,2,Nowy Targ,Małopolskie,Gdańsk,Pomorskie
84,mix,40.00,2013-01-08,2013,1,1,8,2,Głogów,Dolnośląskie,Lublin,Lubelskie
85,tulips,40.00,2013-01-08,2013,1,1,8,2,Nowy Targ,Małopolskie,Wrocław,Dolnośląskie
86,tulips,40.00,2013-01-08,2013,1,1,8,2,Lubin,Dolnośląskie,Wrocław,Dolnośląskie
87,tulips,40.00,2013-01-08,2013,1,1,8,2,Giżycko,Warmińsko-Mazurskie,Iława,Warmińsko-Mazurskie
88,mix,40.00,2013-01-08,2013,1,1,8,2,Wrocław,Dolnośląskie,Katowice,Śląskie
89,roses,40.00,2013-01-08,2013,1,1,8,2,Bydgoszcz,Kujawsko-Pomorskie,Lublin,Lubelskie
90,tulips,40.00,2013-01-08,2013,1,1,8,2,Nowy Targ,Małopolskie,Gryfice,Zachodniopomorskie
91,roses,40.00,2013-01-08,2013,1,1,8,2,Bielsko-Biała,Śląskie,Wrocław,Dolnośląskie
92,roses,40.00,2013-01-08,2013,1,1,8,2,Głogów,Dolnośląskie,Wrocław,Dolnośląskie
93,roses,40.00,2013-01-08,2013,1,1,8,2,Poznań,Wielkopolskie,Kraków,Małopolskie
94,roses,40.00,2013-01-08,2013,1,1,8,2,Elbląg,Warmińsko-Mazurskie,Tczew,Pomorskie
95,tulips,40.00,2013-01-08,2013,1,1,8,2,Wrocław,Dolnośląskie,Warszawa,Mazowieckie
96,mix,40.00,2013-01-08,2013,1,1,8,2,Wieliczka,Małopolskie,Tarnów,Małopolskie
97,roses,40.00,2013-01-08,2013,1,1,8,2,Nowy Targ,Małopolskie,Kraków,Małopolskie
98,mix,40.00,2013-01-08,2013,1,1,8,2,Kraków,Małopolskie,Kraków,Małopolskie
99,mix,40.00,2013-01-09,2013,1,1,9,2,Rzeszów,Podkarpackie,Poznań,Wielkopolskie
100,roses,40.00,2013-01-09,2013,1,1,9,2,Kraków,Małopolskie,Poznań,Wielkopolskie
101,tulips,40.00,2013-01-09,2013,1,1,9,2,Gdańsk,Pomorskie,Nowy Sącz,Małopolskie
102,roses,40.00,2013-01-09,2013,1,1,9,2,Suwałki,Podlaskie,Poznań,Wielkopolskie
103,mix,40.00,2013-01-09,2013,1,1,9,2,Kraków,Małopolskie,Wadowice,Małopolskie
104,mix,40.00,2013-01-09,2013,1,1,9,2,Elbląg,Warmińsko-Mazurskie,Wieliczka,Małopolskie
105,mix,40.00,2013-01-09,2013,1,1,9,2,Tarnów,Małopolskie,Iława,Warmińsko-Mazurskie
106,mix,40.00,2013-01-09,2013,1,1,9,2,Warszawa,Mazowieckie,Wadowice,Małopolskie
107,roses,40.00,2013-01-09,2013,1,1,9,2,Kraków,Małopolskie,Sandomierz,Świętokrzyskie
108,tulips,40.00,2013-01-09,2013,1,1,9,2,Kielce,Świętokrzyskie,Gdańsk,Pomorskie
109,tulips,40.00,2013-01-09,2013,1,1,9,2,Krosno,Podkarpackie,Zielona Góra,Lubuskie
110,mix,40.00,2013-01-09,2013,1,1,9,2,Olsztyn,Warmińsko-Mazurskie,Gdańsk,Pomorskie
111,mix,40.00,2013-01-09,2013,1,1,9,2,Białystok,Podlaskie,Mielec,Podkarpackie
112,mix,40.00,2013-01-09,2013,1,1,9,2,Poznań,Wielkopolskie,Zgierz,Łódzkie
113,tulips,40.00,2013-01-10,2013,1,1,10,2,Płock,Mazowieckie,Gorzów Wielkopolski,Lubuskie
114,mix,40.00,2013-01-10,2013,1,1,10,2,Rzeszów,Podkarpackie,Warszawa,Mazowieckie
115,roses,40.00,2013-01-10,2013,1,1,10,2,Iława,Warmińsko-Mazurskie,Słupsk,Pomorskie
116,tulips,40.00,2013-01-10,2013,1,1,10,2,Giżycko,Warmińsko-Mazurskie,Biała Podlaska,Lubelskie
117,roses,40.00,2013-01-10,2013,1,1,10,2,Łódź,Łódzkie,Kraków,Małopolskie
118,roses,40.00,2013-01-10,2013,1,1,10,2,Poznań,Wielkopolskie,Lublin,Lubelskie
119,mix,40.00,2013-01-10,2013,1,1,10,2,Wieliczka,Małopolskie,Augustów,Podlaskie
120,mix,40.00,2013-01-10,2013,1,1,10,2,Gdańsk,Pomorskie,Tarnów,Małopolskie
121,roses,40.00,2013-01-10,2013,1,1,10,2,Mielec,Podkarpackie,Sieradz,Łódzkie
122,roses,40.00,2013-01-10,2013,1,1,10,2,Iława,Warmińsko-Mazurskie,Giżycko,Warmińsko-Mazurskie
123,mix,40.00,2013-01-10,2013,1,1,10,2,Sieradz,Łódzkie,Malbork,Pomorskie
124,tulips,40.00,2013-01-10,2013,1,1,10,2,Suwałki,Podlaskie,Rzeszów,Podkarpackie
125,roses,40.00,2013-01-10,2013,1,1,10,2,Poznań,Wielkopolskie,Bydgoszcz,Kujawsko-Pomorskie
126,tulips,40.00,2013-01-11,2013,1,1,11,2,Wrocław,Dolnośląskie,Nowy Targ,Małopolskie
127,tulips,40.00,2013-01-11,2013,1,1,11,2,Wieliczka,Małopolskie,Malbork,Pomorskie
128,tulips,40.00,2013-01-11,2013,1,1,11,2,Kraków,Małopolskie,Gdańsk,Pomorskie
129,mix,40.00,2013-01-11,2013,1,1,11,2,Gdańsk,Pomorskie,Mielec,Podkarpackie
130,mix,40.00,2013-01-11,2013,1,1,11,2,Gdańsk,Pomorskie,Rzeszów,Podkarpackie
131,tulips,40.00,2013-01-11,2013,1,1,11,2,Tarnów,Małopolskie,Sopot,Pomorskie
132,tulips,40.00,2013-01-11,2013,1,1,11,2,Łódź,Łódzkie,Gniezno,Wielkopolskie
133,tulips,40.00,2013-01-11,2013,1,1,11,2,Wrocław,Dolnośląskie,Gdańsk,Pomorskie
134,roses,40.00,2013-01-11,2013,1,1,11,2,Kraków,Małopolskie,Gorzów Wielkopolski,Lubuskie
135,tulips,40.00,2013-01-11,2013,1,1,11,2,Łódź,Łódzkie,Tczew,Pomorskie
136,roses,40.00,2013-01-11,2013,1,1,11,2,Tczew,Pomorskie,Gdańsk,Pomorskie
137,tulips,40.00,2013-01-11,2013,1,1,11,2,Łódź,Łódzkie,Kalisz,Wielkopolskie
138,roses,40.00,2013-01-11,2013,1,1,11,2,Warszawa,Mazowieckie,Tczew,Pomorskie
139,mix,40.00,2013-01-11,2013,1,1,11,2,Chełm,Lubelskie,Sieradz,Łódzkie
140,mix,40.00,2013-01-11,2013,1,1,11,2,Łódź,Łódzkie,Kraków,Małopolskie
141,mix,40.00,2013-01-12,2013,1,1,12,2,Kolno,Podlaskie,Nowy Targ,Małopolskie
142,tulips,40.00,2013-01-12,2013,1,1,12,2,Malbork,Pomorskie,Krosno,Podkarpackie
143,tulips,40.00,2013-01-12,2013,1,1,12,2,Biała Podlaska,Lubelskie,Rzeszów,Podkarpackie
144,tulips,40.00,2013-01-12,2013,1,1,12,2,Warszawa,Mazowieckie,Wieliczka,Małopolskie
145,tulips,40.00,2013-01-12,2013,1,1,12,2,Warszawa,Mazowieckie,Kolno,Podlaskie
146,tulips,40.00,2013-01-12,2013,1,1,12,2,Wrocław,Dolnośląskie,Łańcut,Podkarpackie
147,mix,40.00,2013-01-12,2013,1,1,12,2,Łódź,Łódzkie,Elbląg,Warmińsko-Mazurskie
148,tulips,40.00,2013-01-12,2013,1,1,12,2,Łańcut,Podkarpackie,Łódź,Łódzkie
149,roses,40.00,2013-01-12,2013,1,1,12,2,Lubin,Dolnośląskie,Kraków,Małopolskie
150,tulips,40.00,2013-01-12,2013,1,1,12,2,Warszawa,Mazowieckie,Kraków,Małopolskie
151,tulips,40.00,2013-01-12,2013,1,1,12,2,Tczew,Pomorskie,Kraków,Małopolskie
152,tulips,40.00,2013-01-12,2013,1,1,12,2,Poznań,Wielkopolskie,Katowice,Śląskie
153,roses,40.00,2013-01-12,2013,1,1,12,2,Zgierz,Łódzkie,Warszawa,Mazowieckie
154,tulips,40.00,2013-01-12,2013,1,1,12,2,Toruń,Kujawsko-Pomorskie,Wrocław,Dolnośląskie
155,tulips,40.00,2013-01-12,2013,1,1,12,2,Gryfice,Zachodniopomorskie,Koszalin,Zachodniopomorskie
156,tulips,40.00,2013-01-12,2013,1,1,12,2,Żagań,Lubuskie,Warszawa,Mazowieckie
157,roses,40.00,2013-01-12,2013,1,1,12,2,Mielec,Podkarpackie,Kraków,Małopolskie
158,roses,40.00,2013-01-12,2013,1,1,12,2,Wieliczka,Małopolskie,Warszawa,Mazowieckie
159,roses,40.00,2013-01-12,2013,1,1,12,2,Łódź,Łódzkie,Chełm,Lubelskie
160,roses,40.00,2013-01-12,2013,1,1,12,2,Gdańsk,Pomorskie,Kraków,Małopolskie
161,roses,40.00,2013-01-13,2013,1,1,13,2,Poznań,Wielkopolskie,Gdańsk,Pomorskie
162,roses,40.00,2013-01-13,2013,1,1,13,2,Wrocław,Dolnośląskie,Gorzów Wielkopolski,Lubuskie
163,tulips,40.00,2013-01-13,2013,1,1,13,2,Piła,Wielkopolskie,Radom,Mazowieckie
164,tulips,40.00,2013-01-13,2013,1,1,13,2,Gdańsk,Pomorskie,Nowy Targ,Małopolskie
165,roses,40.00,2013-01-13,2013,1,1,13,2,Kluczbork,Opolskie,Gdańsk,Pomorskie
166,tulips,40.00,2013-01-13,2013,1,1,13,2,Biała Podlaska,Lubelskie,Chełm,Lubelskie
167,tulips,40.00,2013-01-13,2013,1,1,13,2,Płock,Mazowieckie,Wrocław,Dolnośląskie
168,mix,40.00,2013-01-13,2013,1,1,13,2,Chełm,Lubelskie,Gorzów Wielkopolski,Lubuskie
169,tulips,40.00,2013-01-13,2013,1,1,13,2,Wrocław,Dolnośląskie,Giżycko,Warmińsko-Mazurskie
170,tulips,40.00,2013-01-14,2013,1,1,14,3,Augustów,Podlaskie,Koszalin,Zachodniopomorskie
171,roses,40.00,2013-01-14,2013,1,1,14,3,Piła,Wielkopolskie,Koszalin,Zachodniopomorskie
172,tulips,40.00,2013-01-14,2013,1,1,14,3,Warszawa,Mazowieckie,Mielec,Podkarpackie
173,tulips,40.00,2013-01-14,2013,1,1,14,3,Tarnów,Małopolskie,Białystok,Podlaskie
174,tulips,40.00,2013-01-14,2013,1,1,14,3,Lublin,Lubelskie,Warszawa,Mazowieckie
175,roses,40.00,2013-01-14,2013,1,1,14,3,Elbląg,Warmińsko-Mazurskie,Kluczbork,Opolskie
176,roses,40.00,2013-01-14,2013,1,1,14,3,Toruń,Kujawsko-Pomorskie,Poznań,Wielkopolskie
177,mix,40.00,2013-01-14,2013,1,1,14,3,Biała Podlaska,Lubelskie,Łódź,Łódzkie
178,mix,40.00,2013-01-14,2013,1,1,14,3,Kraków,Małopolskie,Gdańsk,Pomorskie
179,mix,40.00,2013-01-14,2013,1,1,14,3,Szczecin,Zachodniopomorskie,Warszawa,Mazowieckie
180,tulips,40.00,2013-01-14,2013,1,1,14,3,Kraków,Małopolskie,Kraków,Małopolskie
181,roses,40.00,2013-01-14,2013,1,1,14,3,Poznań,Wielkopolskie,Krosno,Podkarpackie
182,tulips,40.00,2013-01-14,2013,1,1,14,3,Warszawa,Mazowieckie,Łańcut,Podkarpackie
183,tulips,40.00,2013-01-14,2013,1,1,14,3,Opole,Opolskie,Tarnów,Małopolskie
184,mix,40.00,2013-01-14,2013,1,1,14,3,Kraków,Małopolskie,Olsztyn,Warmińsko-Mazurskie
185,roses,40.00,2013-01-14,2013,1,1,14,3,Bydgoszcz,Kujawsko-Pomorskie,Jelenia Góra,Dolnośląskie
186,roses,40.00,2013-01-15,2013,1,1,15,3,Zgierz,Łódzkie,Kraków,Małopolskie
187,roses,40.00,2013-01-15,2013,1,1,15,3,Gdańsk,Pomorskie,Bydgoszcz,Kujawsko-Pomorskie
188,mix,40.00,2013-01-15,2013,1,1,15,3,Warszawa,Mazowieckie,Gryfice,Zachodniopomorskie
189,roses,40.00,2013-01-15,2013,1,1,15,3,Mielec,Podkarpackie,Kluczbork,Opolskie
190,mix,40.00,2013-01-15,2013,1,1,15,3,Głogów,Dolnośląskie,Włocławek,Kujawsko-Pomorskie
191,roses,40.00,2013-01-15,2013,1,1,15,3,Warszawa,Mazowieckie,Ełk,Warmińsko-Mazurskie
192,tulips,40.00,2013-01-15,2013,1,1,15,3,Mielec,Podkarpackie,Biała Podlaska,Lubelskie
193,roses,40.00,2013-01-15,2013,1,1,15,3,Warszawa,Mazowieckie,Elbląg,Warmińsko-Mazurskie
194,tulips,40.00,2013-01-15,2013,1,1,15,3,Kielce,Świętokrzyskie,Lubin,Dolnośląskie
195,mix,40.00,2013-01-15,2013,1,1,15,3,Lublin,Lubelskie,Gryfice,Zachodniopomorskie
196,roses,40.00,2013-01-15,2013,1,1,15,3,Radom,Mazowieckie,Wrocław,Dolnośląskie
197,tulips,40.00,2013-01-15,2013,1,1,15,3,Radom,Mazowieckie,Gdańsk,Pomorskie
198,roses,40.00,2013-01-15,2013,1,1,15,3,Białystok,Podlaskie,Poznań,Wielkopolskie
199,tulips,40.00,2013-01-15,2013,1,1,15,3,Poznań,Wielkopolskie,Augustów,Podlaskie
200,mix,40.00,2013-01-16,2013,1,1,16,3,Warszawa,Mazowieckie,Wrocław,Dolnośląskie
201,mix,40.00,2013-01-16,2013,1,1,16,3,Tczew,Pomorskie,Wadowice,Małopolskie
202,tulips,40.00,2013-01-16,2013,1,1,16,3,Warszawa,Mazowieckie,Gdynia,Pomorskie
203,roses,40.00,2013-01-16,2013,1,1,16,3,Głogów,Dolnośląskie,Gdańsk,Pomorskie
204,roses,40.00,2013-01-16,2013,1,1,16,3,Elbląg,Warmińsko-Mazurskie,Kraków,Małopolskie
205,mix,40.00,2013-01-16,2013,1,1,16,3,Głogów,Dolnośląskie,Augustów,Podlaskie
206,roses,40.00,2013-01-16,2013,1,1,16,3,Gorzów Wielkopolski,Lubuskie,Lubin,Dolnośląskie
207,mix,40.00,2013-01-16,2013,1,1,16,3,Łańcut,Podkarpackie,Augustów,Podlaskie
208,roses,40.00,2013-01-16,2013,1,1,16,3,Poznań,Wielkopolskie,Gdańsk,Pomorskie
209,mix,40.00,2013-01-16,2013,1,1,16,3,Gdynia,Pomorskie,Toruń,Kujawsko-Pomorskie
210,mix,40.00,2013-01-16,2013,1,1,16,3,Zamość,Lubelskie,Ełk,Warmińsko-Mazurskie
211,mix,40.00,2013-01-16,2013,1,1,16,3,Warszawa,Mazowieckie,Wieliczka,Małopolskie
212,tulips,40.00,2013-01-16,2013,1,1,16,3,Białystok,Podlaskie,Poznań,Wielkopolskie
213,roses,40.00,2013-01-16,2013,1,1,16,3,Iława,Warmińsko-Mazurskie,Tarnów,Małopolskie
214,roses,40.00,2013-01-16,2013,1,1,16,3,Rzeszów,Podkarpackie,Lublin,Lubelskie
215,tulips,40.00,2013-01-16,2013,1,1,16,3,Mielec,Podkarpackie,Wieliczka,Małopolskie
216,roses,40.00,2013-01-17,2013,1,1,17,3,Sieradz,Łódzkie,Iława,Warmińsko-Mazurskie
217,tulips,40.00,2013-01-17,2013,1,1,17,3,Łańcut,Podkarpackie,Wrocław,Dolnośląskie
218,tulips,40.00,2013-01-17,2013,1,1,17,3,Łódź,Łódzkie,Wadowice,Małopolskie
219,tulips,40.00,2013-01-17,2013,1,1,17,3,Iława,Warmińsko-Mazurskie,Biała Podlaska,Lubelskie
220,roses,40.00,2013-01-17,2013,1,1,17,3,Kluczbork,Opolskie,Gorzów Wielkopolski,Lubuskie
221,roses,40.00,2013-01-17,2013,1,1,17,3,Gdańsk,Pomorskie,Słupsk,Pomorskie
222,tulips,40.00,2013-01-17,2013,1,1,17,3,Krosno,Podkarpackie,Płock,Mazowieckie
223,roses,40.00,2013-01-17,2013,1,1,17,3,Gdańsk,Pomorskie,Warszawa,Mazowieckie
224,mix,40.00,2013-01-17,2013,1,1,17,3,Wieliczka,Małopolskie,Łańcut,Podkarpackie
225,tulips,40.00,2013-01-17,2013,1,1,17,3,Nowy Targ,Małopolskie,Warszawa,Mazowieckie
226,roses,40.00,2013-01-17,2013,1,1,17,3,Nowy Targ,Małopolskie,Zielona Góra,Lubuskie
227,roses,40.00,2013-01-18,2013,1,1,18,3,Zgierz,Łódzkie,Gdańsk,Pomorskie
228,mix,40.00,2013-01-18,2013,1,1,18,3,Warszawa,Mazowieckie,Gdańsk,Pomorskie
229,roses,40.00,2013-01-18,2013,1,1,18,3,Zamość,Lubelskie,Radom,Mazowieckie
230,roses,40.00,2013-01-18,2013,1,1,18,3,Wrocław,Dolnośląskie,Kluczbork,Opolskie
231,tulips,40.00,2013-01-18,2013,1,1,18,3,Kluczbork,Opolskie,Lubin,Dolnośląskie
232,roses,40.00,2013-01-18,2013,1,1,18,3,Wadowice,Małopolskie,Krosno,Podkarpackie
233,tulips,40.00,2013-01-18,2013,1,1,18,3,Poznań,Wielkopolskie,Elbląg,Warmińsko-Mazurskie
234,mix,40.00,2013-01-18,2013,1,1,18,3,Kraków,Małopolskie,Warszawa,Mazowieckie
235,tulips,40.00,2013-01-18,2013,1,1,18,3,Chełm,Lubelskie,Nowy Sącz,Małopolskie
236,mix,40.00,2013-01-18,2013,1,1,18,3,Wieliczka,Małopolskie,Wadowice,Małopolskie
237,tulips,40.00,2013-01-18,2013,1,1,18,3,Gdańsk,Pomorskie,Zamość,Lubelskie
238,tulips,40.00,2013-01-18,2013,1,1,18,3,Iława,Warmińsko-Mazurskie,Tczew,Pomorskie
239,mix,40.00,2013-01-18,2013,1,1,18,3,Wrocław,Dolnośląskie,Warszawa,Mazowieckie
240,mix,40.00,2013-01-18,2013,1,1,18,3,Poznań,Wielkopolskie,Mielec,Podkarpackie
241,roses,40.00,2013-01-19,2013,1,1,19,3,Szczecin,Zachodniopomorskie,Sopot,Pomorskie
242,mix,40.00,2013-01-19,2013,1,1,19,3,Łódź,Łódzkie,Elbląg,Warmińsko-Mazurskie
243,roses,40.00,2013-01-19,2013,1,1,19,3,Tczew,Pomorskie,Gdańsk,Pomorskie
244,roses,40.00,2013-01-19,2013,1,1,19,3,Sandomierz,Świętokrzyskie,Gdańsk,Pomorskie
245,mix,40.00,2013-01-19,2013,1,1,19,3,Zielona Góra,Lubuskie,Kraków,Małopolskie
246,roses,40.00,2013-01-19,2013,1,1,19,3,Wieliczka,Małopolskie,Nowy Sącz,Małopolskie
247,roses,40.00,2013-01-19,2013,1,1,19,3,Kraków,Małopolskie,Chełm,Lubelskie
